Product_Reporting,Visitor_ID,State_Code
Personal,7468395695999615701_5230920183569082510,42
Personal,6101274995958504617_6403178407758196325,24
Personal,4599161545208922111_5964220549722956083,36
Personal,1668647032152026039_2614633777866207750,6
Personal,1942823960778098937_7932707727596505584,54
Refinance,8793874090129098664_7857451392763426321,26
Refinance,6353119019193862615_8630043715723157498,12
Personal,7253456185242750110_4621357311833198935,39
Personal,5613740089315690013_3019978426606932859,6
Refinance,2161966163479718059_3137428724761491198,12
Refinance,5356828900302292788_722204819485919362,29
Personal,4429932571153491492_5564107610058549652,8
Refinance,5748326523944590269_2043054107641584783,6
Refinance,1392601362651856101_5961403925714014100,26
Refinance,4255661914912160999_9021062072682125904,37
Refinance,2282454711167848900_1700323149712460318,51
Personal,7032052821169575515_2383493124492800328,23
Purchase,5990242533527595950_7062605484214167470,34
Refinance,3453362390752457505_6234385095470999790,37
Personal,1557375038281954191_8993483446389186767,42
Refinance,3855674174144907525_4323396032452238304,21
Personal,4835564339364581384_1878632636521877381,42
Refinance,1956438204794072682_9180055810472786863,48
Purchase,3695974220660258392_2910872740824340587,6
Personal,1510568823382504779_4790760384736769571,39
Refinance,184229665320555566_6007804705185163349,22
Personal,1947731676534210500_6267607913758142174,48
unknown,5185742277923363467_4374803047388847766,48
Personal,7394837979532024297_4382632089540416095,13
Refinance,1799275973355960063_748234538467889677,36
Refinance,1241015365707477800_2282813150328251500,42
Purchase,9213866029167111284_961284458609785480,6
Personal,425215517683214667_1944603472746956187,13
Personal,4862437216477034786_2980633159654121342,42
Refinance,1314875945253140259_2021676536260391236,8
Refinance,4245032973163144783_4869603467850108796,48
Personal,4926040972849147854_9134341628222282809,13
Refinance,1361222449666058966_1991021922432284428,6
Purchase,3843858311089989797_4749452031113218409,18
Purchase,1626180568121600715_6479149701184406456,2
Purchase,7897590443167441096_481404940229176635,21
Refinance,579719079232227429_1816682117322591156,47
Refinance,7631540135682414364_8020501682901497314,48
Refinance,5735655834258167179_5012753820577995391,4
Purchase,185365519498203693_7591405356716831566,34
Refinance,312510913446010020_2989156432413891484,39
Refinance,5988739674450368131_1477898442800013961,17
Purchase,2773922254571615320_7369146162260734502,6
Purchase,4652188847166182928_8623473555735719520,27
Refinance,4652188847166182928_8623473555735719520,27
Refinance,2458632143664336992_440284282130180700,53
Refinance,6540312680616755665_3137601662668493097,12
Refinance,3950881137613442754_6801961142135885303,49
Personal,5937694556137200248_5482791186233665888,48
Refinance,7709770381867382805_6536364547631841539,48
Refinance,6260711993079570131_2153596472811687226,10
Personal,668910333126570284_5860138776970729840,26
Refinance,7379338849881790946_542172859567772747,12
Personal,6905626388421761992_2806629503801535018,45
Personal,8866058546973107467_5778583857250248080,39
Personal,7888450079803118972_7159159698087244776,19
Purchase,729884449820313623_7025381279314612733,12
Personal,3199067902573779059_5249486932089135309,1
Purchase,6703194514784438479_1275174621436643134,17
Personal,963061912935783923_2344147479098334322,32
Personal,3624558269694555313_6520537642838231545,24
Refinance,7575711264474492203_3740824926127055631,48
Purchase,9005231469513051657_7935872204727162406,32
Purchase,6931541561612710556_2431383607106730990,48
Purchase,6423034647450970000_936381697121596269,9
Refinance,6568911530418947921_489937484461709085,17
Purchase,4508640078758716270_3205831583800021279,48
Refinance,3339569959017008946_4110855198584544296,12
Refinance,6861867414668940124_5204033989197381411,13
Refinance,3973707880515573607_2205992275101345331,12
Personal,5528638399063941985_6810927012283918853,34
Refinance,6060072996098109441_6819610020448365618,34
Personal,2331719643452669642_86573242860039404,45
Personal,1024142290688663333_7055094305270158893,12
Purchase,686210906849005050_792110216146234254,6
Refinance,3451098597199880199_8498559049836280282,13
Refinance,8340477191955699327_6838574128554213125,20
Refinance,6531272362510736917_7212541793367558997,40
Refinance,443696209243766084_8099254023977902845,6
Personal,6159426720842992083_7400093815403596155,42
Personal,6296889953374413723_9034955261998200261,13
Purchase,6563531701021040171_637382120442607526,21
Purchase,1961459174149916052_1612528927425668092,25
Refinance,1662993138650714007_494192514092381188,37
Personal,9175470843583495090_1046156064587997737,39
Purchase,1402907746324193421_1000375633229405350,19
Purchase,8123008783495776224_3531432171273121077,6
Personal,711260673047079132_5793156716467279416,39
Refinance,3706631763411432781_5897811570751305571,8
Personal,3347764494320190743_3308188900928796861,42
Purchase,4318246650172971817_5943658538753294315,22
Personal,5812731603575175700_7505957681923464570,13
Refinance,5435410231008451833_8454043877109317855,39
Personal,2590848118750264855_8094255515635565495,12
Refinance,2300101348555608302_2273618736655542648,48
Personal,3375385054829956470_7190169149411467563,48
Refinance,5740927194295839734_1979071634274854172,39
Refinance,3249387755354267494_549430067912503899,17
Refinance,3069491770099825002_7534087001836543264,6
Refinance,2020579927944795664_2738779437952564706,21
Personal,7537810435632807751_1383275958284356930,39
Refinance,294426094682697193_3218960311666630602,6
Refinance,1575572346019985795_1839315231258179513,9
Personal,7402968629791821543_2802548421763790799,1
unknown,2792828322143455881_2891507553334968905,53
Purchase,5423414530850134425_3055097867023354349,28
Refinance,1942458536492517775_2744560700738566437,13
Refinance,3101751624747823252_7645274511280823398,55
Refinance,2993322008109114465_5197313114274904850,13
Refinance,6593618437113074599_3205589515016532999,32
unknown,8121067841785999369_1345844412474561421,31
Personal,3018023033681829124_7289555103172056157,48
Home Equity,8241684548716690473_7334121905644800167,17
Refinance,8774411390660696123_4101674715016474816,33
Purchase,2066034069903525928_6038761398756203422,51
Refinance,8675281480330070088_4216312381414421585,39
Refinance,1195196512536031168_3414876967665979930,36
Refinance,3094267830776024996_5409182602536044383,42
Purchase,418335953260069971_8597821926342292753,6
Refinance,2207941147944312595_2754185465842156044,53
Refinance,6529793563871923160_6551026040102154196,26
Personal,3567586581068327110_4900316580899309220,26
Personal,493349265332309043_4266643354447755942,42
Refinance,2346116416813148707_120870710361999634,12
Personal,8163957605572265557_3711882931479372460,22
Refinance,2387531697894721498_1746037133085474905,19
Refinance,8196117992329664652_5120240718168782079,6
Refinance,2041883618431818400_157198301273185466,42
Refinance,890296274285118322_3688553409421432525,13
Personal,8430127984205761560_7536713203373900088,26
Refinance,1971531938496531471_6371429139730034165,6
Purchase,6288794969610985386_5284901294462912834,6
Purchase,616037563661157944_8345365421915318504,17
Personal,4198727714744540195_5202611648002166613,6
Personal,8080142439071498856_2682369492033052670,17
Purchase,4071238622883738873_5653189672633131465,17
Refinance,5663136693826965920_6302742575604550311,12
Personal,1665570438406174769_7897609666416132074,39
Purchase,7278361178793250149_6104634778826743107,25
Refinance,4303083836302153265_3568622380605099627,39
Refinance,3847364787626187840_2046106109362736448,12
Reverse Mortgage,4346094613400019167_6560958580855197104,42
Refinance,7146396645883457285_6826565601247746168,12
Refinance,8447999888630092861_7517835213137972759,41
Refinance,8429801623992826761_2802192330531313251,51
Refinance,4804672797547604744_8128358946939972757,6
Refinance,7027509986569629405_8591012433257634503,13
Refinance,4402041221991194717_3668373132606097298,47
Purchase,6591389552822547410_8047790382765099749,6
Refinance,3872099376716785722_716074758548009460,34
Refinance,2133172402438243644_7766831569399157636,34
Refinance,1701363090578468955_2769583151932401902,17
Refinance,5552811485076269803_1471126980648538988,36
Refinance,2214900435088354500_8246984602493696742,48
Purchase,2933295119915102704_6055123336554691022,40
Refinance,9041275753665010070_926264536855739455,39
Refinance,4569316899180067482_4939575795991777198,42
Refinance,3264825950412850721_5167245134671630361,42
Refinance,8535646183592803811_4510215631839319586,42
Refinance,2555738230069219895_704759270580030794,48
Refinance,4366902488599356750_3772757960645390251,36
Refinance,2615242269411132935_4572911739410300379,51
Refinance,6628284289845227874_3124845623763543604,51
Purchase,1750987958529983010_1064084845118099482,53
